author,idn,place,recipient,year,location,point,lat,lon
"Heilbut, Iwan",994868596,"New York, NY","Forell, Frederick J.",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",994914024,"New York, NY","Freund, Erich",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",994915764,"New York, NY","Wittig, Friedrich",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995856710,"New York, NY","Gode, Alexander",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995867208,"New York, NY","Goes, Albrecht",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995868069,"New York, NY","Goll, Yvan",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995868190,"New York, NY","Goulet, Alexandre",1947-1947,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995869073,"New York, NY","Grasshoff, Fritz",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995871302,"New York, NY","Groll, Gunter",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995871604,"New York, NY","Gründgens, Gustaf",1948-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995898553,"New York, NY","Guinzburg, Harold K.",1941-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995898812,"New York, NY","Gumpert, Martin",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995902305,"New York, NY","Hadas, Ethel",1941-1941,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995918929,"New York, NY","Hagelstange, Rudolf",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995920419,"New York, NY","Hagen, Louis",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995925038,"New York, NY","H°akansson, Lo",1943-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",995927170,"New York, NY","Hampe, Johann Christoph",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99600498X,"New York, NY","Hauptmann, Margarete",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99600629X,"New York, NY","Hausmann, Manfred",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996196234,"New York, NY","Heilbut, Jacob",1941-1953,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996196587,"New York, NY","Heilbut, Minna",1941-1941,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996231013,"New York, NY","Hesse, Hermann",1947-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996258345,"New York, NY","Heynicke, Kurt",1948-1953,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996259058,"New York, NY","Hildebrand, ... von",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996261001,"New York, NY","Hilpert, Heinz",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996261451,"New York, NY","Hiltbrunner, Hermann",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996262792,"New York, NY","Hirsch, Karl Jakob",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996395148,"New York, NY","Hoffmeister, Heinz",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996400605,"New York, NY","Daniels, Eleanor",1944-1944,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996401903,"New York, NY","Hulse, Wilfred C.",1942-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99641777X,"New York, NY","Shuster, George N.",1942-1955,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996428313,"New York, NY","Michael, Friedrich",1947-1947,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996506225,"New York, NY","Irving, L. P.",1949-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998396605,"New York, NY","Schiebelhuth, Marie",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998492736,"New York, NY","Schiff, ...",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998513091,"New York, NY","Schnack, Anton",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998513296,"New York, NY","Schnack, Friedrich",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998514144,"New York, NY","Schneider, Georg",1948-1964,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998515647,"New York, NY","Schneider, Reinhold",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998519669,"New York, NY","Schönberg, Frieda",1945-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998568236,"New York, NY","Schönlank, Erich",1945-1959,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998569097,"New York, NY","Schoepke, Helmut",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998569240,"New York, NY","Schoeps, Hans-Joachim",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998569402,"New York, NY","Schröder, Rudolf Alexander",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998590142,"New York, NY","Schumacher, Hans",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",100089360X,"New York, NY","Scott, Tom",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998726710,"New York, NY","Schweikart, Hans",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998746320,"New York, NY","Seelmann, Kurt",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998774162,"New York, NY","Sertorius, Lili",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998778826,"New York, NY","Siegel, ...",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998821659,"New York, NY","Heide, Heinrich",1945-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999238353,"New York, NY","Stech, Marianne",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999238671,"New York, NY","Braun-Fernwald, Jella von",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999246496,"New York, NY","Steinberg, Milton",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999289675,"New York, NY","Steiner, Franz Baermann",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999298860,"New York, NY","Sternthal, Friedrich",1949-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999318403,"New York, NY","Schwedhelm, Karl",1949-1963,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999320769,"New York, NY","Süskind, Wilhelm E.",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999320858,"New York, NY","Szyk, Arthur",1944-1944,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999339613,"New York, NY","Taube, Otto von",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999433989,"New York, NY","Treuenfels, Therese",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999435973,"New York, NY","Ulbricht, Hanns",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999439553,"New York, NY","Scholl, Inge",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999444166,"New York, NY","Cohen, Myer",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99944638X,"New York, NY","Bundy, Frederic O.",1946-1953,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999471457,"New York, NY","Davis, Elmer",1944-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999475916,"New York, NY","Hilldring, John A.",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999476076,"New York, NY","Hilldring, John A.",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999476521,"New York, NY","Unruh, Fritz von",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999477366,"New York, NY","Usinger, Fritz",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999502794,"New York, NY","Desch, Kurt",1948-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999509667,"New York, NY","Viertel, Berthold",1941-1941,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99951007X,"New York, NY","Huebsch, B. W.",1944-1944,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999535730,"New York, NY","Schöpfer, Siegfried",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99954926X,"New York, NY","Rentschler, Hedwig Eleonore",1949-1968,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999636383,"New York, NY","Schmücker, Irma",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99963769X,"New York, NY","Walter, Helmut",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999639323,"New York, NY","Vring, Georg von der",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999644505,"New York, NY","Lunt, Storer B.",1944-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999644750,"New York, NY","Wackernagel, Martin",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999645242,"New York, NY","Waldinger, Ernst",1942-1942,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999646419,"New York, NY","Waller, Gertrud",1959-1969,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999664565,"New York, NY","Sternberger, Dolf",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999665421,"New York, NY","Wanner, Franz",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999676113,"New York, NY","Wedekind, Kadidja",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999676741,"New York, NY","Wedekind, Pamela",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999935356,"New York, NY","Weinmann, Fritz Siegfried",1964-1964,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999935410,"New York, NY","Weismantel, Leo",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999955292,"New York, NY","Whyte, John",1947-1947,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999959026,"New York, NY","Wiechert, Ernst",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999962922,"New York, NY","Wiener, Alfred",1944-1967,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",999965395,"New York, NY","Weismann, Willi",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000084450,"New York, NY","Wulff, Clara",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000084973,"New York, NY","Wulff, Nellie",1944-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000105539,"New York, NY","Zoff, Otto",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000106284,"New York, NY","Zohn, Harry",1952-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000110184,"New York, NY","Zweig, Arnold",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000118576,"New York, NY","Zweig, Stefan",1941-1942,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",100036660X,"New York, NY",Unbekannt,1943-1966,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000367843,"New York, NY",Unbekannt,1941-1966,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Baum, Margaret L.",1000495655,"New York, NY","Heilbut, Charlotte",1958-1960,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000535630,"New York, NY","Blumenthal, Siegfried",1955-1958,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000537277,"New York, NY","Brown, Arthur",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000537528,"New York, NY","Carsch, Friedel",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000538346,"New York, NY","Danzoll, Charles Graves",1961-1962,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000539067,"New York, NY","Fraenkel, Ernest",1962-1962,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",100053944X,"New York, NY","Hahn, Renate",1962-1963,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000539628,"New York, NY","Heering, Harry",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000546861,"New York, NY","Hermoni, Šelômît",1861-1969,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000539873,"New York, NY","Hester, Lilian",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000545539,"New York, NY","Meyer, Elisabeth",1947-1955,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000819442,"New York, NY","Meyer, Maximo",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000546209,"New York, NY","Meyer, Werner",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000546802,"New York, NY","Preuss, Gerhard",1952-1963,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000553558,"New York, NY","Reith, Katy R. de",1958-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000556026,"New York, NY","Simon, Lena",1959-1968,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000571165,"New York, NY","Steinitz, Hans",1967-1967,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000571718,"New York, NY","Steinitz, Hans",1962-1962,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000571971,"New York, NY","Steinitz, Hans",1963-1963,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Charlotte",1000574172,"New York, NY",Unbekannt,1958-1967,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Francis",1000576051,"New York, NY","Rudolf, Max",1961-1961,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Francis",1002488850,"New York, NY","Weidle, Stefan",1999-1999,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Powdermaker, Florence",1000688674,"New York, NY",Unbekannt,,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Raport, Paul",1000691152,"New York, NY","Heilbut, Charlotte",1957-1957,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Sokolsky, George E.",1000735230,"New York, NY","Heilbut, Francis",1956-1956,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
Verschiedene,1000756831,"New York, NY","Heilbut, Charlotte",1955-1956,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997081260,"New York, NY","Meckauer, Walter",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997081457,"New York, NY","Mehring, Walter",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997091169,"New York, NY","Mell, Max",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997091711,"New York, NY","Mendel, Rosa",1941-1941,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997096071,"New York, NY","Hurwitz, Henry",1944-1944,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997098864,"New York, NY","Milch, Werner",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997226390,"New York, NY","Namuth, Hans",1971-1971,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997232900,"New York, NY","Pierson, ...",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997234970,"New York, NY","Gutheil, Lilly",1941-1941,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997235853,"New York, NY","Gutheil, Lilly",1944-1944,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997266740,"New York, NY","Schuchard, Gottlieb C. L.",1949-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99771154X,"New York, NY","Nick, Dagmar",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997720670,"New York, NY","Auburtin, A.",1949-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997721200,"New York, NY","Nossack, Hans Erich",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997721839,"New York, NY","Gramm, Hanns",1949-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997737603,"New York, NY","Omansen, Willibald",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997738804,"New York, NY","Pabst, Curt",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997957522,"New York, NY","Pauker, Edmond",1942-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997959584,"New York, NY","Paulsen, Anna",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997960779,"New York, NY","Peine, Eva",1947-1947,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997967242,"New York, NY","Perleberg, Gilbert",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997968540,"New York, NY","Picard, Jacob",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997968966,"New York, NY","Pinthus, Kurt",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",1000374319,"New York, NY","Pitt, Louis W.",1949-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997988959,"New York, NY","Pollak, Anneliese",1971-1972,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",997993022,"New York, NY","Preminger, Otto",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998002720,"New York, NY","Pschigode, Karl",1948-1952,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99810583X,"New York, NY","Commins, Saxe",1942-1942,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998107646,"New York, NY","Rasche, Friedrich",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998107867,"New York, NY","Rasche, Friedrich",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998108618,"New York, NY","Rebo, Fred",1950-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998320978,"New York, NY","Regler, Gustav",1948-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998322997,"New York, NY","Reich, Hanns Leo",1943-1943,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998325767,"New York, NY","Reisiger, Hans",1947-1954,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998327158,"New York, NY","Reyman, Randolph A.",1940-1949,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998329770,"New York, NY","Riedel, Otto",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998368989,"New York, NY","Rothenberg, Friedrich",1946-1946,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998369403,"New York, NY","Rothgiesser, Fritz",1945-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998370614,"New York, NY","Raddatz, Fritz J.",1948-1969,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998384917,"New York, NY","Rypins, Senta Jonas",1941-1942,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99838884X,"New York, NY","Sahl, Hans",1948-1971,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998389307,"New York, NY","Salm, Louise",1945-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998393142,"New York, NY","Sander, Ilse",1943-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998394157,"New York, NY","Schaeffer, Albrecht",1945-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",998394408,"New York, NY","Schaffner, Emil A.",1948-1950,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99839484X,"New York, NY","Schaumann, Ruth",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996509356,"New York, NY","Jacob, Heinrich Eduard",1948-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996523316,"New York, NY","Jacobsen, Karin",1945-1956,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996524479,"New York, NY","Jacobsen, Poul",1945-1948,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",99652844X,"New York, NY","Jakobsen, Jens",1947-1947,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
"Heilbut, Iwan",996601724,"New York, NY","Jungermann, ...",1945-1945,"New York, New York, United States","(40.71427, -74.00597, 0.0)",40.71427,-74.00597
